epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91181,0,121.072,0,0,0,0,0,0,32.3127,0,0,0,0
2,3.63665,0,120.925,0,0,0,0,0,0,32.3395,0,1.9604e-05,1.9604e-05,1.9604e-05
3,5.37898,0,120.475,0,0,0,0,0,0,32.37,0,3.8416e-05,3.8416e-05,3.8416e-05
4,6.89415,0,119.304,0,0,0,0,0,0,32.4003,0,5.6436e-05,5.6436e-05,5.6436e-05
5,8.44197,0,118.618,0,0,0,0,0,0,32.4237,0,7.3664e-05,7.3664e-05,7.3664e-05
6,9.98524,0,117.599,0,0,0,0,0,0,32.4359,0,9.01e-05,9.01e-05,9.01e-05
7,11.4818,0,116.917,0,0,0,0,0,0,32.4474,0,0.000105744,0.000105744,0.000105744
8,13.2037,0,116.19,0,0,0,0,0,0,32.4587,0,0.000120596,0.000120596,0.000120596
9,15.0877,0,114.942,0,0,0,0,0,0,32.4905,0,0.000134656,0.000134656,0.000134656
10,16.7032,0,113.889,0,0,0,0,0,0,32.5481,0,0.000147924,0.000147924,0.000147924
11,18.2258,0,111.984,0,0,0,0,0,0,32.6252,0,0.0001604,0.0001604,0.0001604
12,19.7178,0,110.633,0,0,0,0,0,0,32.7116,0,0.000172084,0.000172084,0.000172084
13,21.2223,0,109.532,0,0,0,0,0,0,32.8096,0,0.000182976,0.000182976,0.000182976
14,22.7151,0,108.596,0,0,0,0,0,0,32.9103,0,0.000193076,0.000193076,0.000193076
15,24.2247,0,106.855,0,0,0,0,0,0,32.9859,0,0.000202384,0.000202384,0.000202384
16,25.9509,0,105.538,0,0,0,0,0,0,33.0386,0,0.0002109,0.0002109,0.0002109
17,27.5364,0,103.468,0,0,0,0,0,0,33.0717,0,0.000218624,0.000218624,0.000218624
18,29.0472,0,102.885,0,0,0,0,0,0,33.0717,0,0.000225556,0.000225556,0.000225556
19,30.5577,0,102.762,0,0,0,0,0,0,33.0885,0,0.000231696,0.000231696,0.000231696
20,32.0167,0,100.676,0,0,0,0,0,0,33.0885,0,0.000237044,0.000237044,0.000237044
21,33.5504,0,100.369,0,0,0,0,0,0,33.0813,0,0.0002416,0.0002416,0.0002416
22,35.0518,0,99.4557,0,0,0,0,0,0,33.0813,0,0.000245364,0.000245364,0.000245364
23,36.6839,0,99.7279,0,0,0,0,0,0,33.0376,0,0.000248336,0.000248336,0.000248336
24,38.3927,0,97.4528,0,0,0,0,0,0,33.0376,0,0.000250516,0.000250516,0.000250516
25,39.9167,0,106.116,0,0,0,0,0,0,32.9286,0,0.000251904,0.000251904,0.000251904
26,41.3812,0,104.449,0,0,0,0,0,0,32.9286,0,0.0002525,0.0002525,0.0002525
27,42.9343,0,104.897,0,0,0,0,0,0,32.7965,0,0.000252304,0.000252304,0.000252304
28,44.4238,0,100.42,0,0,0,0,0,0,32.7965,0,0.000251316,0.000251316,0.000251316
29,45.9461,0,100.596,0,0,0,0,0,0,32.6621,0,0.000249536,0.000249536,0.000249536
30,47.422,0,95.8701,0,0,0,0,0,0,32.6621,0,0.000246964,0.000246964,0.000246964
31,49.2596,0,96.7004,0,0,0,0,0,0,32.5602,0,0.0002436,0.0002436,0.0002436
32,50.7817,0,93.6897,0,0,0,0,0,0,32.5602,0,0.000239444,0.000239444,0.000239444
33,52.2716,0,94.2669,0,0,0,0,0,0,32.4832,0,0.000234496,0.000234496,0.000234496
34,53.764,0,93.3787,0,0,0,0,0,0,32.4832,0,0.000228756,0.000228756,0.000228756
35,55.3071,0,93.4858,0,0,0,0,0,0,32.38,0,0.000222224,0.000222224,0.000222224
36,56.7652,0,91.4267,0,0,0,0,0,0,32.38,0,0.0002149,0.0002149,0.0002149
37,58.2859,0,91.7768,0,0,0,0,0,0,32.1918,0,0.000206784,0.000206784,0.000206784
38,59.9323,0,90.2652,0,0,0,0,0,0,32.1918,0,0.000197876,0.000197876,0.000197876
39,61.7024,0,90.1136,0,0,0,0,0,0,31.9388,0,0.000188176,0.000188176,0.000188176
40,63.208,0,88.6674,0,0,0,0,0,0,31.9388,0,0.000177684,0.000177684,0.000177684
41,64.7281,0,88.5645,0,0,0,0,0,0,31.6606,0,0.0001664,0.0001664,0.0001664
42,66.2172,0,87.4902,0,0,0,0,0,0,31.6606,0,0.000154324,0.000154324,0.000154324
43,67.7715,0,88.8411,0,0,0,0,0,0,31.3777,0,0.000141456,0.000141456,0.000141456
44,69.233,0,86.9633,0,0,0,0,0,0,31.3777,0,0.000127796,0.000127796,0.000127796
45,70.7525,0,86.7339,0,0,0,0,0,0,31.1162,0,0.000113344,0.000113344,0.000113344
46,72.5093,0,86.2105,0,0,0,0,0,0,31.1162,0,9.81e-05,9.81e-05,9.81e-05
47,74.063,0,85.9657,0,0,0,0,0,0,30.8844,0,8.2064e-05,8.2064e-05,8.2064e-05
48,75.5554,0,84.5446,0,0,0,0,0,0,30.8844,0,6.5236e-05,6.5236e-05,6.5236e-05
49,77.0775,0,84.9277,0,0,0,0,0,0,30.6677,0,4.7616e-05,4.7616e-05,4.7616e-05
50,78.5869,0,84.0126,0,0,0,0,0,0,30.6677,0,2.9204e-05,2.9204e-05,2.9204e-05
